median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id
28300,3173,852,1214,0.5392373,0.1897258,0.4465805,0.2054838,0.2808896,1320,0.080303,0.7318182,200,1
14999,468,120,182,0.542735,0.1816239,0.3974359,0.2200855,0.3296703,220,0.1727273,0.6863636,113,2
61400,14732,4154,4921,0.5125577,0.1756041,0.5333288,0.0775183,0.1351351,5144,0.0433515,0.8302877,385,3
33900,14507,4248,5838,0.5380851,0.183084,0.5013442,0.1516509,0.2545392,6238,0.0641231,0.7261943,297,4
33300,14917,4152,5745,0.5447476,0.1928002,0.4697325,0.1721526,0.2590078,6170,0.0688817,0.6873582,245,5
27800,3009,763,1200,0.5736125,0.1704885,0.4114324,0.2276504,0.3525,1293,0.0719258,0.6272235,135,6
29300,464,138,163,0.5258621,0.2349138,0.5021552,0.0711207,0.1349693,188,0.1329787,0.5851064,250,7
17400,960,264,380,0.54375,0.196875,0.4729167,0.2104167,0.3,405,0.0617284,0.7308642,165,8
25600,9269,2556,3812,0.54482680000000006,0.1809257,0.4668249,0.1861042,0.3061385,4181,0.0882564,0.7225544,232,9
30800,339,105,144,0.539823,0.1238938,0.4867257,0.2094395,0.2638889,156,0.0769231,0.7884615,217,10
30000,26623,7250,10807,0.5450926,0.1756752,0.4809751,0.1738347,0.3051726,12100,0.1068595,0.6952066,290,11
43900,6321,1909,2592,0.5342509,0.1732321,0.5162158,0.1572536,0.2488426,2745,0.0557377,0.771949,261,12
31500,930,270,332,0.4967742,0.1677419,0.5150538,0.1204301,0.1686747,362,0.0828729,0.6878453,256,13
21500,743,200,285,0.5289367,0.2032301,0.4576043,0.1857335,0.2947368,321,0.1121495,0.7352025,159,14
30000,338,102,123,0.4822485,0.2218935,0.5,0.112426,0.1544715,139,0.1151079,0.676259,200,15
28300,1926,514,729,0.5441329,0.1796469,0.4537902,0.1884735,0.2825789,782,0.0677749,0.7046036,196,16
